input_doc	distance	class	class_match	keyword_match	ref_match
epidemiology	0.003294442124240571	epidemiology	1	0	0
epidemiology	0.003696137324991744	epidemiology	1	0	0
epidemiology	0.004462616037405609	epidemiology	1	0	0
epidemiology	0.005191903704055867	epidemiology	1	0	0
epidemiology	0.0053449464761007315	epidemiology	1	0	0
epidemiology	0.005393380371229384	epidemiology	1	0	0
epidemiology	0.005419409099529204	epidemiology	1	0	0
epidemiology	0.005544756809993223	epidemiology	1	0	0
epidemiology	0.005642872034737567	epidemiology	1	0	0
epidemiology	0.0057630085908227935	epidemiology	1	0	0
epidemiology	0.005773384783979929	epidemiology	1	0	0
epidemiology	0.005810722233102639	epidemiology	1	0	0
epidemiology	0.006049171990398894	epidemiology	1	0	0
epidemiology	0.00608744573624076	epidemiology	1	0	0
epidemiology	0.006110460127146333	epidemiology	1	0	0
epidemiology	0.006157321643319169	epidemiology	1	0	0
epidemiology	0.006190394346480499	epidemiology	1	0	0
epidemiology	0.006266868529337999	epidemiology	1	0	0
epidemiology	0.006321613642411239	epidemiology	1	0	0
epidemiology	0.0063851982786308215	epidemiology	1	0	0
epidemiology	0.00643666669390075	epidemiology	1	0	0
epidemiology	0.00645718252876315	epidemiology	1	0	0
epidemiology	0.006513362580029214	epidemiology	1	0	0
epidemiology	0.0065453960118669885	epidemiology	1	0	0
epidemiology	0.006584579198009699	epidemiology	1	0	0
epidemiology	0.006642884706230201	epidemiology	1	0	0
epidemiology	0.00664318572766498	epidemiology	1	0	0
epidemiology	0.0066507365706219845	epidemiology	1	0	0
epidemiology	0.006682413986220603	epidemiology	1	0	0
epidemiology	0.006706141020299872	epidemiology	1	1	0
epidemiology	0.006861803929901988	epidemiology	1	0	0
epidemiology	0.00687311276300917	epidemiology	1	0	0
epidemiology	0.006902020307935852	epidemiology	1	0	0
epidemiology	0.006905937738284407	epidemiology	1	0	0
epidemiology	0.006933543588165336	epidemiology	1	0	0
epidemiology	0.007014632082050665	epidemiology	1	0	0
epidemiology	0.0070212706249475065	epidemiology	1	0	0
epidemiology	0.0070731115837243674	epidemiology	1	0	0
epidemiology	0.0070842993420544564	epidemiology	1	0	0
epidemiology	0.007099794201070209	epidemiology	1	0	0
epidemiology	0.007103078269578789	epidemiology	1	1	0
epidemiology	0.007150272330438745	epidemiology	1	0	0
epidemiology	0.0071618201377925406	epidemiology	1	0	0
epidemiology	0.0071823498377283634	epidemiology	1	0	0
epidemiology	0.007184494158953392	epidemiology	1	0	0
epidemiology	0.007230208162422258	epidemiology	1	0	0
epidemiology	0.00729199530347413	epidemiology	1	0	0
epidemiology	0.007313544387982929	epidemiology	1	1	0
epidemiology	0.007336505199365684	epidemiology	1	1	0
epidemiology	0.007369431514665292	epidemiology	1	0	0
epidemiology	0.0074027334539432665	epidemiology	1	0	0
epidemiology	0.007415253480082207	epidemiology	1	0	0
